workout_date,workout_memo,workout_started_at,workout_completed_at,workout_elapsed_seconds,exercise_name,exercise_equipment,exercise_muscle_group,exercise_memo,set_number,set_weight,set_reps
2026-01-01,,,,,ベンチプレス,barbell,chest,,1,50.0,5.0
2026-01-01,,,,,ベンチプレス,barbell,chest,,2,50.0,5.0
2026-01-01,,,,,ベンチプレス,barbell,chest,,3,50.0,5.0
2026-01-01,,,,,インクラインチェストプレス,machine,chest,,1,42.0,11.0
2026-01-01,,,,,インクラインチェストプレス,machine,chest,,2,42.0,11.0
2026-01-01,,,,,インクラインチェストプレス,machine,chest,,3,42.0,10.0
2026-01-01,,,,,チェストプレス,machine,chest,,1,27.0,10.0
2026-01-01,,,,,チェストプレス,machine,chest,,2,27.0,10.0
2026-01-01,,,,,チェストプレス,machine,chest,,3,27.0,9.0
2026-01-02,,,,,サイドレイズ,dumbbell,shoulders,,1,6.0,15.0
2026-01-02,,,,,サイドレイズ,dumbbell,shoulders,,2,6.0,15.0
2026-01-02,,,,,サイドレイズ,dumbbell,shoulders,,3,6.0,11.0
2026-01-02,,,,,ショルダープレス,dumbbell,shoulders,,1,27.0,12.0
2026-01-02,,,,,ショルダープレス,dumbbell,shoulders,,2,27.0,12.0
2026-01-02,,,,,ショルダープレス,dumbbell,shoulders,,3,27.0,10.0
2026-01-02,,,,,マシンサイドレイズ,machine,shoulders,,1,11.0,11.0
2026-01-02,,,,,マシンサイドレイズ,machine,shoulders,,2,11.0,11.0
2026-01-02,,,,,マシンサイドレイズ,machine,shoulders,,3,11.0,12.0
2026-01-02,,,,,リアデルトフライ,machine,shoulders,,1,13.0,11.0
2026-01-02,,,,,リアデルトフライ,machine,shoulders,,2,13.0,11.0
2026-01-02,,,,,リアデルトフライ,machine,shoulders,,3,13.0,11.0
2026-01-04,,,,,ハンマーフロントプルダウン,machine,back,,1,15.0,14.0
2026-01-04,,,,,ハンマーフロントプルダウン,machine,back,,2,15.0,12.0
2026-01-04,,,,,ハンマーフロントプルダウン,machine,back,,3,15.0,12.0
2026-01-04,,,,,ハンマーローイング,machine,back,,1,15.0,11.0
2026-01-04,,,,,ハンマーローイング,machine,back,,2,15.0,11.0
2026-01-04,,,,,ハンマーローイング,machine,back,,3,15.0,10.0
2026-01-04,,,,,ラットプルダウン,cable,back,,1,35.0,11.0
2026-01-04,,,,,ラットプルダウン,cable,back,,2,35.0,11.0
2026-01-04,,,,,ラットプルダウン,cable,back,,3,32.5,11.0
2026-01-04,,,,,EZバーカール,barbell,biceps,,1,15.0,12.0
2026-01-04,,,,,EZバーカール,barbell,biceps,,2,15.0,12.0
2026-01-04,,,,,EZバーカール,barbell,biceps,,3,15.0,12.0
2026-01-04,,,,,インクラインダンベルカール,dumbbell,biceps,,1,7.0,12.0
2026-01-04,,,,,インクラインダンベルカール,dumbbell,biceps,,2,7.0,12.0
2026-01-04,,,,,インクラインダンベルカール,dumbbell,biceps,,3,7.0,10.0
2026-01-09,,,,,ベンチプレス,barbell,chest,,1,60.0,1.0
2026-01-09,,,,,ベンチプレス,barbell,chest,,2,52.5,5.0
2026-01-09,,,,,ベンチプレス,barbell,chest,,3,52.5,2.0
2026-01-09,,,,,ベンチプレス,barbell,chest,,4,50.0,5.0
2026-01-09,,,,,インクラインチェストプレス,machine,chest,,1,42.0,10.0
2026-01-09,,,,,インクラインチェストプレス,machine,chest,,2,42.0,11.0
2026-01-09,,,,,インクラインチェストプレス,machine,chest,,3,42.0,10.0
2026-01-09,,,,,ショルダープレス,dumbbell,shoulders,,1,27.0,12.0
2026-01-09,,,,,ショルダープレス,dumbbell,shoulders,,2,27.0,11.0
2026-01-09,,,,,ショルダープレス,dumbbell,shoulders,,3,27.0,7.0
2026-01-09,,,,,サイドレイズ,dumbbell,shoulders,,1,5.0,16.0
2026-01-09,,,,,サイドレイズ,dumbbell,shoulders,,2,5.0,14.0
2026-01-09,,,,,サイドレイズ,dumbbell,shoulders,,3,5.0,14.0
2026-01-09,,,,,マシンサイドレイズ,machine,shoulders,,1,11.0,10.0
2026-01-09,,,,,マシンサイドレイズ,machine,shoulders,,2,11.0,10.0
2026-01-09,,,,,マシンサイドレイズ,machine,shoulders,,3,11.0,10.0
2026-01-12,,,,,ラットプルダウン,cable,back,,1,41.0,10.0
2026-01-12,,,,,ラットプルダウン,cable,back,,2,36.0,10.0
2026-01-12,,,,,ラットプルダウン,cable,back,,3,36.0,9.0
2026-01-12,,,,,Strive ラットプルダウン,machine,back,,1,36.0,10.0
2026-01-12,,,,,Strive ラットプルダウン,machine,back,,2,36.0,10.0
2026-01-12,,,,,Strive ラットプルダウン,machine,back,,3,36.0,12.0
2026-01-12,,,,,EZバーカール,barbell,biceps,,1,15.0,12.0
2026-01-12,,,,,EZバーカール,barbell,biceps,,2,15.0,9.0
2026-01-12,,,,,EZバーカール,barbell,biceps,,3,15.0,12.0
2026-01-12,,,,,インクラインダンベルカール,dumbbell,biceps,,1,7.0,10.0
2026-01-12,,,,,インクラインダンベルカール,dumbbell,biceps,,2,7.0,10.0
2026-01-12,,,,,インクラインダンベルカール,dumbbell,biceps,,3,7.0,9.0
2026-01-12,,,,,ローイングマシン,machine,back,,1,40.0,12.0
2026-01-12,,,,,ローイングマシン,machine,back,,2,40.0,11.0
2026-01-12,,,,,ローイングマシン,machine,back,,3,40.0,11.0
2026-01-13,,,,,ベンチプレス,barbell,chest,,1,52.5,5.0
2026-01-13,,,,,ベンチプレス,barbell,chest,,2,52.5,4.0
2026-01-13,,,,,ベンチプレス,barbell,chest,,3,50.0,5.0
2026-01-13,,,,,インクラインチェストプレス,machine,chest,,1,43.0,12.0
2026-01-13,,,,,インクラインチェストプレス,machine,chest,,2,43.0,12.0
2026-01-13,,,,,インクラインチェストプレス,machine,chest,,3,43.0,10.0
2026-01-13,,,,,チェストプレス,machine,chest,,1,27.0,12.0
2026-01-13,,,,,チェストプレス,machine,chest,,2,27.0,12.0
2026-01-13,,,,,チェストプレス,machine,chest,,3,27.0,10.0
2026-01-13,,,,,サイドレイズ,dumbbell,shoulders,,1,6.0,14.0
2026-01-13,,,,,サイドレイズ,dumbbell,shoulders,,2,6.0,14.0
2026-01-13,,,,,サイドレイズ,dumbbell,shoulders,,3,6.0,12.0
2026-01-13,,,,,マシンサイドレイズ,machine,shoulders,,1,11.0,10.0
2026-01-13,,,,,マシンサイドレイズ,machine,shoulders,,2,11.0,10.0
2026-01-13,,,,,マシンサイドレイズ,machine,shoulders,,3,11.0,12.0
2026-01-13,,,,,ショルダープレス,dumbbell,shoulders,,1,27.0,12.0
2026-01-13,,,,,ショルダープレス,dumbbell,shoulders,,2,27.0,8.0
2026-01-13,,,,,ショルダープレス,dumbbell,shoulders,,3,25.0,12.0
2026-01-18,,,,,ラットプルダウン,cable,back,,1,40.0,11.0
2026-01-18,,,,,ラットプルダウン,cable,back,,2,37.5,12.0
2026-01-18,,,,,ラットプルダウン,cable,back,,3,35.0,12.0
2026-01-18,,,,,Strive ラットプルダウン,machine,back,,1,36.0,12.0
2026-01-18,,,,,Strive ラットプルダウン,machine,back,,2,36.0,14.0
2026-01-18,,,,,Strive ラットプルダウン,machine,back,,3,36.0,12.0
2026-01-18,,,,,EZバーカール,barbell,biceps,,1,15.0,14.0
2026-01-18,,,,,EZバーカール,barbell,biceps,,2,15.0,14.0
2026-01-18,,,,,EZバーカール,barbell,biceps,,3,15.0,12.0
2026-01-18,,,,,インクラインダンベルカール,dumbbell,biceps,,1,7.0,11.0
2026-01-18,,,,,インクラインダンベルカール,dumbbell,biceps,,2,7.0,10.0
2026-01-18,,,,,インクラインダンベルカール,dumbbell,biceps,,3,7.0,10.0
2026-01-18,,,,,レッグエクステンション,machine,legs,,1,45.0,10.0
2026-01-18,,,,,レッグエクステンション,machine,legs,,2,45.0,10.0
2026-01-18,,,,,レッグエクステンション,machine,legs,,3,45.0,10.0
2026-01-18,,,,,ベンチプレス,barbell,chest,,1,40.0,10.0
2026-01-18,,,,,ベンチプレス,barbell,chest,,2,40.0,10.0
2026-01-20,,,,,チェストプレス,machine,chest,,1,30.0,15.0
2026-01-20,,,,,チェストプレス,machine,chest,,2,30.0,12.0
2026-01-20,,,,,チェストプレス,machine,chest,,3,30.0,10.0
2026-01-20,,,,,マシンサイドレイズ,machine,shoulders,,1,13.0,12.0
2026-01-20,,,,,マシンサイドレイズ,machine,shoulders,,2,13.0,12.0
2026-01-20,,,,,マシンサイドレイズ,machine,shoulders,,3,13.0,9.0
2026-01-20,,,,,マシンサイドレイズ,machine,shoulders,,4,15.0,12.0
2026-01-20,,,,,マシンサイドレイズ,machine,shoulders,,5,15.0,12.0
2026-01-20,,,,,マシンサイドレイズ,machine,shoulders,,6,15.0,10.0
2026-01-20,,,,,リアデルトフライ,machine,shoulders,,1,23.0,10.0
2026-01-20,,,,,リアデルトフライ,machine,shoulders,,2,23.0,10.0
2026-01-20,,,,,リアデルトフライ,machine,shoulders,,3,23.0,10.0
2026-01-20,,,,,ベンチプレス,barbell,chest,,1,50.0,5.0
2026-01-20,,,,,ベンチプレス,barbell,chest,,2,50.0,5.0
2026-01-20,,,,,ベンチプレス,barbell,chest,,3,47.5,5.0
2026-01-20,,,,,ベンチプレス,barbell,chest,,4,47.5,4.0
2026-01-20,,,,,インクラインチェストプレス,machine,chest,,1,43.0,10.0
2026-01-20,,,,,インクラインチェストプレス,machine,chest,,2,43.0,9.0
2026-01-20,,,,,インクラインチェストプレス,machine,chest,,3,40.0,10.0
2026-01-21,,,,,ベンチプレス,barbell,chest,,1,37.5,5.0
2026-01-21,,,,,ベンチプレス,barbell,chest,,2,37.5,5.0
2026-01-21,,,,,ベンチプレス,barbell,chest,,3,37.5,5.0
2026-01-21,,,,,スクワット,barbell,legs,,1,60.0,5.0
2026-01-21,,,,,スクワット,barbell,legs,,2,60.0,5.0
2026-01-21,,,,,スクワット,barbell,legs,,3,57.5,5.0
2026-01-21,,,,,EZバーカール,barbell,biceps,,1,27.5,3.0
2026-01-21,,,,,EZバーカール,barbell,biceps,,2,25.0,9.0
2026-01-21,,,,,EZバーカール,barbell,biceps,,3,22.5,10.0
2026-01-21,,,,,EZバーカール,barbell,biceps,,4,20.0,
2026-01-21,,,,,インクラインダンベルカール,dumbbell,biceps,,1,7.0,10.0
2026-01-21,,,,,インクラインダンベルカール,dumbbell,biceps,,2,6.0,10.0
2026-01-21,,,,,インクラインダンベルカール,dumbbell,biceps,,3,6.0,12.0
2026-01-23,,,,,ベンチプレス,barbell,chest,,1,40.0,5.0
2026-01-23,,,,,ベンチプレス,barbell,chest,,2,40.0,5.0
2026-01-23,,,,,ベンチプレス,barbell,chest,,3,40.0,5.0
2026-01-23,,,,,ハンマーフロントプルダウン,machine,back,,1,15.0,14.0
2026-01-23,,,,,ハンマーフロントプルダウン,machine,back,,2,15.0,14.0
2026-01-23,,,,,ハンマーフロントプルダウン,machine,back,,3,15.0,13.0
2026-01-23,,,,,デッドリフト,barbell,back,,1,60.0,5.0
2026-01-23,,,,,デッドリフト,barbell,back,,2,60.0,5.0
2026-01-23,,,,,デッドリフト,barbell,back,,3,60.0,5.0
2026-01-23,,,,,ラットプルダウン,cable,back,,1,36.0,10.0
2026-01-23,,,,,ラットプルダウン,cable,back,,2,36.0,10.0
2026-01-23,,,,,ラットプルダウン,cable,back,,3,36.0,10.0
2026-01-25,,,,,ベンチプレス,barbell,chest,,1,52.5,5.0
2026-01-25,,,,,ベンチプレス,barbell,chest,,2,52.5,5.0
2026-01-25,,,,,ベンチプレス,barbell,chest,,3,52.5,5.0
2026-01-25,,,,,ベンチプレス,barbell,chest,,4,52.5,5.0
2026-01-25,,,,,サイドレイズ,dumbbell,shoulders,,1,5.0,14.0
2026-01-25,,,,,サイドレイズ,dumbbell,shoulders,,2,5.0,14.0
2026-01-25,,,,,サイドレイズ,dumbbell,shoulders,,3,5.0,15.0
2026-01-25,,,,,インクラインチェストプレス,machine,chest,,1,43.0,13.0
2026-01-25,,,,,インクラインチェストプレス,machine,chest,,2,43.0,12.0
2026-01-25,,,,,インクラインチェストプレス,machine,chest,,3,43.0,11.0
2026-01-25,,,,,マシンサイドレイズ,machine,shoulders,,1,11.0,11.0
2026-01-25,,,,,マシンサイドレイズ,machine,shoulders,,2,11.0,12.0
2026-01-25,,,,,マシンサイドレイズ,machine,shoulders,,3,11.0,11.0
2026-01-25,,,,,チェストプレス,machine,chest,,1,27.0,13.0
2026-01-25,,,,,チェストプレス,machine,chest,,2,27.0,10.0
2026-01-25,,,,,チェストプレス,machine,chest,,3,27.0,10.0
2026-01-25,,,,,リアデルトフライ,machine,shoulders,,1,23.0,10.0
2026-01-25,,,,,リアデルトフライ,machine,shoulders,,2,23.0,10.0
2026-01-25,,,,,リアデルトフライ,machine,shoulders,,3,23.0,10.0
2026-01-28,,,,,ベンチプレス,barbell,chest,,1,35.0,5.0
2026-01-28,,,,,ベンチプレス,barbell,chest,,2,35.0,5.0
2026-01-28,,,,,ベンチプレス,barbell,chest,,3,35.0,5.0
2026-01-28,,,,,スクワット,barbell,legs,,1,60.0,5.0
2026-01-28,,,,,スクワット,barbell,legs,,2,60.0,5.0
2026-01-28,,,,,スクワット,barbell,legs,,3,60.0,5.0
2026-01-28,,,,,EZバーカール,barbell,biceps,,1,20.0,11.0
2026-01-28,,,,,EZバーカール,barbell,biceps,,2,20.0,10.0
2026-01-28,,,,,EZバーカール,barbell,biceps,,3,20.0,10.0
2026-01-28,,,,,インクラインダンベルカール,dumbbell,biceps,,1,7.0,9.0
2026-01-28,,,,,インクラインダンベルカール,dumbbell,biceps,,2,6.0,10.0
2026-01-28,,,,,インクラインダンベルカール,dumbbell,biceps,,3,6.0,12.0
2026-01-30,,,,,デッドリフト,barbell,back,,1,60.0,5.0
2026-01-30,,,,,デッドリフト,barbell,back,,2,60.0,
2026-01-30,,,,,ベンチプレス,barbell,chest,,1,40.0,5.0
2026-01-30,,,,,ベンチプレス,barbell,chest,,2,40.0,5.0
2026-01-30,,,,,ベンチプレス,barbell,chest,,3,40.0,5.0
2026-01-30,,,,,ラットプルダウン,cable,back,,1,36.0,14.0
2026-01-30,,,,,ラットプルダウン,cable,back,,2,36.0,12.0
2026-01-30,,,,,ラットプルダウン,cable,back,,3,36.0,10.0
